Rebalance_Date,ACC,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTIARTL,BHEL,BPCL,CAIRN,CIPLA,COALINDIA,DLF,DRREDDY,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,IDFC,INDUSINDBK,INFY,ITC,JINDALSTEL,JPASSOCIAT,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NMDC,NTPC,ONGC,PNB,POWERGRID,RANBAXY,RELIANCE,RELINFRA,SBIN,SESAGOA,SUNPHARMA,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,ULTRACEMCO,WIPRO,SSLT,MCDOWELL-N,TECHM,ZEEL,IDEA,YESBANK,BOSCHLTD,VEDL,ADANIPORTS,AUROPHARMA,EICHERMOT,INFRATEL,TATAMTRDVR,IBULHSGFIN,IOC,BAJFINANCE,HINDPETRO,UPL,BAJAJFINSV,TITAN,JSWSTEEL,BRITANNIA,NESTLEIND,SHREECEM,HDFCLIFE,DIVISLAB,SBILIFE,TATACONSUM,,
31-05-2013,0.59,0.72,1.15,2.3,1.27,0.64,1.88,0.82,0.51,0.88,0.98,1.07,0.37,1.38,0.71,0.94,1.02,7.16,6.69,0.86,0.68,3.16,6.92,0.93,1.14,6.05,9.7,0.57,0.42,1.54,3.94,0.91,2.31,1.06,0.48,1.65,3.02,0.59,0.83,0.3,6.88,0.25,2.74,0.33,2.04,2.88,0.74,1.01,3.97,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28-06-2013,0.61,0.76,1.12,2.18,1.37,0.57,1.85,0.73,0.5,0.91,1.06,1.02,0.37,1.49,0.75,0.93,1.09,7.24,6.55,0.84,0.68,3.2,6.57,0.84,1.05,6.41,9.47,0.44,0.35,1.49,4.06,0.99,2.37,1.08,0.44,1.58,3.12,0.52,0.84,0.25,7.53,0.25,2.68,0.3,2.02,2.66,0.74,0.97,4.12,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31-07-2013,0.6,0.7,1.26,1.75,1.42,0.58,2.25,0.68,0.46,0.95,1.11,0.97,0.31,1.58,0.74,0.92,1.36,6.81,6.15,0.95,0.63,2.37,5.74,0.74,0.9,7.83,10.26,0.42,0.24,1.39,3.77,1.13,2.3,0.96,0.42,1.47,2.81,0.46,0.78,0.24,7.83,0.25,2.41,0.27,2.33,2.84,0.77,0.79,5.06,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30-08-2013,0.52,0.75,1.09,1.48,1.41,0.5,2.04,0.54,0.4,1.09,1.21,0.91,0.33,1.67,0.76,0.82,1.58,6.41,6.29,1.12,0.78,2.56,5.32,0.57,0.87,8.59,9.73,0.49,0.23,1.43,3.38,1.09,2.07,0.94,0.54,1.55,2.53,0.37,0.79,0.36,8.05,0.27,2.25,0.42,2.25,3.08,0.7,1.05,5.95,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30-09-2013,0.56,0.75,1.11,1.67,1.43,0.5,2.03,0.58,0.46,1.01,1.18,1,0.31,1.62,0.79,0.9,1.55,6.37,5.86,1.03,0.77,2.38,5.46,0.58,0.84,7.78,10.02,0.48,0.23,1.38,3.44,1.09,2.04,0.96,0.51,1.63,2.54,0.37,0.74,0.27,7.23,0,2.23,1.2,2.39,3.2,0.7,0.97,5.26,0.98,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31-10-2013,0.52,0.7,1.19,1.85,1.39,0.59,2.13,0.54,0.45,0.91,1.02,0.89,0.33,1.52,0.77,0.87,1.42,6.49,6.13,0.97,0.72,2.1,6.31,0.64,0.92,7.78,8.98,0.45,0.28,1.39,3.86,1.03,1.99,1.06,0.54,1.5,2.53,0.4,0.7,0.29,7.33,0,2.26,0,2.23,3.34,0.64,1.09,5.25,0.97,1.52,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
29-11-2013,0.51,0.7,1.13,1.78,1.31,0.6,1.93,0.61,0.44,0.95,0.98,0.85,0.34,1.56,0.75,0.84,1.43,6.36,6.06,1.22,0.78,2.09,6.11,0.65,0.89,8.03,8.75,0.49,0.33,1.43,4.22,1.01,2.16,1.1,0.52,1.5,2.62,0.41,0.67,0.32,6.95,0,2.32,0,2.13,3.55,0.63,1.32,5.07,0.96,1.52,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31-12-2013,0.5,0.68,1.07,1.95,1.24,0.59,1.9,0.68,0.43,0.93,0.98,0.89,0.36,1.55,0.74,0.83,1.63,5.99,5.96,1.2,0.76,1.95,6.13,0.67,0.87,8.14,8.58,0.48,0.32,1.34,4.21,1.05,2.1,1.13,0.54,1.37,2.47,0.45,1.06,0.34,7.12,0,2.2,0,2.07,3.27,0.71,1.37,5.36,0.87,1.77,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31-01-2014,0.47,0.61,1.07,1.74,1.28,0.52,1.88,0.68,0.47,0.96,1.04,0.78,0.31,1.66,0.81,0.82,1.95,6.32,5.83,1.18,0.71,2.02,5.71,0.59,0.82,8.95,8.99,0.47,0.25,1.25,4.02,1.05,2.05,1.08,0.58,1.31,2.44,0.42,1.05,0.25,6.84,0,1.97,0,2.22,3.15,0.59,1.19,5.73,0.87,1.88,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28-02-2014,0.5,0.62,1.04,1.9,1.26,0.51,1.66,0.64,0.47,0.93,0.94,0.75,0.31,1.78,0.81,0.78,2.04,6.18,6,1.14,0.66,1.88,5.83,0.57,0.82,8.94,8.76,0.43,0.25,1.26,4.37,1.15,2.17,1.02,0.49,1.12,2.49,0.4,1.01,0.27,6.36,0,2.29,0,2.35,3.63,0.61,1.11,5.63,0.9,1.89,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31-03-2014,0.58,0.69,1.1,2.02,1.25,0.61,1.68,0.69,0.53,0.88,0.86,0.81,0.35,1.45,0.75,0.82,1.66,6.14,6.18,1.22,0.81,1.91,6.4,0.68,0.95,7.06,8.69,0.48,0,1.33,4.62,0.99,2.01,1.16,0.49,1.1,2.51,0.49,1.03,0,6.81,0,2.64,0,1.93,3.19,0.69,1.17,4.86,0.99,1.58,1.04,0.93,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30-04-2014,0.54,0.68,1.02,2.1,1.14,0.7,1.74,0.64,0.52,0.88,0.9,0.82,0.28,1.53,0.74,0.74,1.67,6.25,5.96,1.18,0.77,1.79,6.4,0.62,0.91,6.84,8.41,0.42,0,1.36,4.7,1.05,2.2,1.13,0.53,1.07,2.56,0.52,1.04,0,6.86,0,2.86,0,2.12,3.32,0.64,1.19,4.99,0.92,1.52,1.02,0.97,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30-05-2014,0.51,0.69,0.95,2.5,1.07,0.65,1.68,0.9,0.55,0.83,0.8,1,0.39,1.28,0.72,0.83,1.56,5.63,6.06,1.16,0.78,1.76,6.74,0.65,0.96,5.84,7.79,0.44,0,1.36,5.19,0.92,2.34,1.24,0.55,1.36,2.79,0.58,1.11,0,7.2,0,3.23,0,1.89,3.07,0.77,1.3,4.5,1,1.36,1.43,0.89,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30-06-2014,0.54,0.66,1.05,2.49,1.21,0.64,1.56,0.88,0.61,0.84,0.87,0.98,0.38,1.3,0.84,0.85,1.57,6.06,5.97,1.24,0.83,1.72,6.4,0.66,0.98,6.14,7.04,0.46,0,1.32,5.42,0.98,2.06,1.26,0.57,1.26,2.98,0.58,1.2,0,6.52,0,3.24,0,2.02,3.03,0.76,1.38,4.85,1.03,1.4,1.41,0.72,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31-07-2014,0.5,0.61,1.1,2.5,1.07,0.63,1.7,0.79,0.58,0.72,0.89,0.93,0.34,1.37,0.78,0.79,1.61,6.45,5.98,1.2,0.95,1.87,6.55,0.74,0.94,6.26,7.6,0.38,0,1.4,4.72,1.09,2.13,1.29,0.52,1.15,2.73,0.55,1.13,0,6.37,0,2.9,0,2.29,3.09,0.68,1.42,5.08,0.95,1.37,1.38,0.7,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28-08-2014,0.52,0.59,1.05,2.48,1.13,0.61,1.91,0.81,0.67,0.69,0.97,0.87,0.3,1.4,0.77,0.81,1.63,6.28,5.88,1.17,0.82,1.96,6.72,0.68,0.94,6.48,7.35,0.31,0,1.65,4.65,1.15,2.42,1.37,0.5,1.06,2.91,0.53,1.06,0,6.13,0,2.84,0,2.4,3.52,0.59,1.28,4.81,0.97,1.38,1.21,0.45,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30-09-2014,0.49,0.61,1.06,2.35,1.17,0.63,2.09,0.67,0.63,0.66,1.18,0.83,0.25,1.52,0.78,0.84,1.71,6.15,6.06,1.27,0.75,1.97,6.17,0.64,1,6.73,7.64,0.23,0,1.61,4.43,1.24,2.33,1.51,0.49,1.07,2.73,0.49,1.11,0,5.79,0,2.81,0,2.4,3.36,0.56,1.14,5.2,1,1.45,1.19,0,1.39,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31-10-2014,0.5,0.62,1.06,2.61,1.25,0.62,1.96,0.83,0.67,0.58,1.2,0.86,0.2,1.43,0.87,0.79,1.54,6.17,6.06,1.31,0.75,1.86,6.69,0.73,1.1,6.96,7.02,0.21,0,1.7,4.81,1.16,2.16,1.57,0.48,1.1,2.59,0.49,1.14,0,5.86,0,2.97,0,2.26,3.42,0.6,1.16,4.74,0.93,1.31,1.07,0,1.35,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28-11-2014,0.48,0.61,1.16,2.78,1.22,0.7,1.82,0.88,0.66,0.51,1.11,0.8,0.23,1.58,0.78,0.78,1.55,6.28,6.17,1.3,0.77,1.92,7,0.73,1.12,7.25,6.97,0.18,0,1.78,4.61,1.22,2.1,1.53,0.38,1.02,2.35,0.55,1.08,0,5.63,0,3.42,0,2.18,3.3,0.58,1.09,4.66,0.88,1.32,0.89,0,1.37,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31-12-2014,0.47,0.63,1.22,3.01,1.17,0.73,1.74,0.86,0.6,0.49,1.14,0.9,0.22,1.47,0.74,0.77,1.54,6.38,6.37,1.33,0.72,1.92,7.3,0.75,1.24,6.8,7.34,0.2,0,1.94,4.36,1.22,2.03,1.57,0.41,1.06,2.19,0.58,1.09,0,5.24,0,3.44,0,2.22,3.18,0.53,0.95,4.67,0.98,1.3,0.85,0,1.4,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30-01-2015,0.49,0.64,1.3,3.32,1.08,0.61,1.74,0.89,0.65,0.44,1.19,0.79,0.26,1.38,0.66,0.83,1.63,6.66,6.78,1.15,0.6,2.22,7.01,0.77,1.26,6.94,6.9,0.19,0,1.91,4.66,1.27,1.96,1.62,0.38,1,2.12,0.47,1.09,0,5.06,0,3.21,0,2.32,3.53,0.55,0.87,4.26,1.08,1.34,0.75,0,1.48,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28-02-2015,0.52,0.69,1.22,3.42,0.95,0.57,1.62,0.78,0.63,0.48,1.14,1.66,0.23,1.4,0.63,0.78,1.8,6.9,6.6,1.06,0.65,2.12,6.59,0.76,1.3,7.53,6.63,0.23,0,1.97,4.75,1.38,1.96,1.57,0.36,1.06,1.92,0.41,1.14,0,4.69,0,3.06,0,2.25,3.5,0.52,0.78,4.5,1.06,1.42,0.79,0,1.43,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
