Date,ABBOTINDIA,ACC,ADANIPORTS,ADANITRANS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CADILAHC,CIPLA,COALINDIA,COLPAL,CONCOR,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GICRE,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCAMC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INFRATEL,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MOTHERSUMI,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,OFSS,ONGC,PAGEIND,PEL,PETRONET,PFC,PGHH,PIDILITIND,PNB,POWERGRID,RELIANCE,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SRTRANSFIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,UBL,ULTRACEMCO,UPL,WIPRO,ZEEL
2010-01-04,,913.6,556.75,,106.1,1788.65,926.95,992.1,1732.05,359.45,645.4,343.1,,515.7,60.45,325.2,279.35,4759.4,650.75,1668.55,663.65,337.55,,686.55,1284.25,161.4,670.85,364.6,,1142.15,675.65,415.05,,271.05,2544.1,533.8,371.1,2674.35,,1705.7,,1712.95,163.5,399.75,264.7,1208.6,879.7,,,198.85,,142.85,,2612.6,314.65,253.65,1022.95,822.9,1691.4,1459.7,101.8,1551.45,1317.8,1129.85,142.4,,874.8,,35.3,427.35,231.85,2376.9,1187.45,863.25,368.2,72.95,255.5,1719.2,193.75,925.5,112.4,1075.5,,,2291.2,1962.45,584.9,476.7,1507.35,826.45,633.75,751.65,1023.0,1421.5,390.45,167.5,966.1,174.35,693.8,252.5
2010-01-05,,901.75,575.95,,105.3,1794.3,916.25,1012.8,1740.05,360.25,650.35,340.8,,530.6,60.55,330.35,278.8,4705.55,640.95,1671.05,680.75,331.5,,685.45,1269.1,165.3,669.8,369.45,,1177.45,653.1,418.7,,271.45,2628.15,535.75,379.45,2683.45,,1707.2,,1717.4,175.2,400.0,263.85,1241.5,888.05,,,200.45,,142.7,,2621.35,315.85,256.15,1134.9,831.05,1694.4,1438.4,103.3,1515.85,1334.65,1150.65,144.75,,890.15,,35.6,425.85,229.3,2351.7,1208.25,865.0,370.25,74.6,261.1,1737.05,195.3,939.8,112.75,1070.7,,,2292.05,2045.1,587.7,479.95,1552.65,812.05,649.1,751.85,1036.1,1450.65,389.5,171.75,986.1,182.9,704.75,255.25
2010-01-06,,907.6,604.5,,105.95,1788.9,907.45,995.8,1713.15,351.75,641.25,345.7,,533.85,61.0,326.85,290.8,4629.4,631.3,1655.85,686.65,344.9,,687.3,1313.2,168.0,687.8,378.55,,1207.65,647.65,415.9,,264.0,2736.95,536.1,368.0,2696.35,,1708.35,,1695.4,171.05,389.9,265.35,1229.0,894.85,,,197.6,,146.1,,2583.1,315.4,256.75,1148.95,841.15,1675.65,1469.2,102.6,1461.65,1384.55,1178.25,141.75,,885.65,,36.25,427.15,228.2,2346.6,1223.5,859.85,387.1,76.5,259.7,1711.2,220.35,935.35,113.55,1088.0,,,2305.8,2119.25,593.75,472.95,1572.8,813.3,642.05,734.85,1041.2,1474.0,387.4,172.2,987.3,179.65,690.5,260.9
2010-01-07,,913.35,597.35,,105.8,1770.65,888.75,1002.85,1683.1,349.0,628.15,343.6,,537.05,61.05,329.4,290.15,4704.45,619.05,1649.05,687.1,342.05,,693.55,1275.9,164.0,709.9,374.5,,1188.95,638.6,426.35,,261.9,2674.5,539.6,360.15,2646.15,,1712.8,,1653.2,175.15,389.1,264.8,1287.95,886.4,,,196.2,,142.8,,2525.05,310.45,255.95,1124.45,850.6,1667.6,1440.65,101.6,1453.3,1364.05,1155.8,144.65,,877.5,,35.6,419.85,228.25,2323.4,1224.8,870.0,388.2,76.35,259.9,1727.8,210.35,922.5,114.55,1106.05,,,2292.9,2252.65,615.65,487.5,1548.85,785.5,649.8,714.4,1018.3,1510.65,397.35,168.85,978.35,177.95,678.25,261.05
2010-01-08,807.0,912.15,596.65,,105.9,1799.9,896.35,1015.95,1655.25,350.0,625.2,349.85,,539.2,60.9,325.05,289.1,5067.5,629.55,1652.7,691.1,341.1,,682.95,1294.1,165.15,691.95,389.9,,1194.1,647.2,428.75,,268.3,2757.3,529.6,351.75,2600.05,,1715.05,,1645.2,173.3,393.7,265.95,1262.2,873.95,,,194.85,,142.3,,2464.2,315.75,256.5,1118.05,845.35,1678.15,1439.4,101.2,1433.15,1347.25,1155.9,142.4,,861.95,2494.65,35.35,419.55,231.1,2323.8,1215.7,869.75,387.1,77.4,258.45,1707.35,207.9,923.85,114.85,1103.15,,,2286.05,2220.05,631.0,497.75,1574.95,789.8,648.45,699.8,1045.1,1496.7,391.35,167.0,990.3,176.85,668.05,257.15
2010-01-11,804.8,915.15,616.95,,106.1,1796.85,890.75,1049.4,1669.55,351.55,629.2,358.7,,546.35,63.5,328.95,291.05,5048.7,627.9,1652.3,687.2,342.3,,690.0,1295.55,166.8,688.65,399.45,,1200.15,643.15,432.4,,267.1,2812.6,532.95,355.25,2600.1,,1708.15,,1676.4,171.7,390.1,266.1,1278.9,869.4,,,198.5,,142.5,,2489.65,318.85,256.6,1142.65,848.6,1677.3,1414.4,101.1,1454.75,1360.3,1159.2,145.55,,858.8,2498.95,35.1,433.6,232.95,2295.75,1216.5,875.2,381.75,79.9,268.85,1702.35,208.45,949.8,114.9,1081.5,,,2267.2,2272.15,643.9,501.55,1574.7,790.15,648.5,714.2,1038.5,1484.6,386.4,168.4,991.55,175.55,661.4,268.1
2010-01-12,790.0,898.05,626.2,,103.4,1843.75,883.6,1049.3,1703.7,343.1,620.15,345.2,,540.5,62.45,322.25,287.9,4960.8,627.55,1666.4,677.15,339.65,,682.75,1289.1,162.25,683.35,383.95,,1209.5,615.3,427.6,,267.0,2796.5,535.75,367.85,2559.65,,1695.2,,1644.75,167.85,382.4,262.15,1300.65,842.75,,,197.7,,139.95,,2586.95,317.95,250.05,1128.0,823.05,1679.25,1405.1,102.45,1441.0,1359.75,1192.2,143.0,,857.15,2502.85,34.55,425.65,229.4,2341.15,1190.95,874.0,378.05,77.15,270.4,1692.25,204.4,926.05,113.25,1084.35,,,2203.2,2184.35,626.65,503.5,1571.8,786.3,625.55,750.05,1045.55,1480.8,384.05,168.2,984.6,168.9,693.8,270.6
2010-01-13,767.0,946.25,649.85,,108.2,1858.25,873.8,1040.3,1707.6,339.45,616.05,327.0,,537.95,62.55,318.4,298.55,4918.2,629.8,1660.35,672.65,341.85,,695.8,1299.35,162.1,696.45,387.85,,1228.25,607.7,425.5,,267.1,2831.55,530.4,377.95,2543.9,,1689.3,,1625.75,171.15,386.45,262.5,1289.95,840.65,,,198.3,,137.2,,2683.5,323.7,248.95,1141.55,813.0,1673.2,1399.05,103.4,1428.75,1325.55,1153.6,143.9,,856.8,2489.35,34.95,425.55,229.4,2397.6,1195.3,864.9,382.1,80.85,271.45,1731.2,203.35,919.75,114.95,1088.6,,,2175.9,2206.5,638.25,507.9,1547.8,784.95,639.25,788.55,1087.1,1469.3,386.7,167.9,1032.4,172.0,715.6,279.15
2010-01-14,785.1,955.1,639.2,,107.4,1881.7,908.2,1066.1,1709.2,340.15,623.8,335.75,,544.2,62.7,318.05,298.55,4892.55,625.8,1680.25,675.75,340.8,,682.45,1298.75,162.45,693.7,383.3,,1237.1,607.95,429.95,,268.85,2842.2,524.8,370.1,2524.95,,1683.8,,1621.3,170.85,391.8,256.05,1292.5,835.3,,,206.4,,137.6,,2689.75,325.85,248.15,1182.1,824.4,1668.4,1392.65,104.85,1414.85,1323.75,1171.65,148.4,,864.5,2568.2,35.0,426.7,231.0,2475.3,1231.75,860.6,390.6,82.35,282.7,1736.9,206.95,923.0,117.35,1121.7,,,2157.35,2258.5,658.65,509.85,1559.5,782.15,647.7,779.85,1081.45,1517.3,393.05,167.75,1044.0,169.1,741.1,280.5
2010-01-15,797.05,980.8,649.05,,113.25,1871.95,901.0,1077.8,1726.9,343.55,618.65,339.0,,539.05,63.35,317.4,298.7,4952.95,617.35,1693.7,678.75,350.2,,682.5,1322.65,160.85,689.0,386.3,,1229.95,628.45,425.5,,267.2,2847.4,513.9,369.4,2521.5,,1694.15,,1625.35,166.6,386.45,256.4,1303.7,842.45,,,208.95,,141.75,,2675.8,324.35,252.75,1179.85,821.9,1651.2,1421.1,105.7,1413.45,1272.6,1157.2,151.25,,841.2,2513.5,35.25,479.3,232.25,2463.4,1209.8,863.0,387.4,81.0,281.2,1772.25,208.15,908.5,118.65,1110.75,,,2143.35,2220.5,655.25,515.75,1525.1,797.2,645.15,791.4,1137.15,1515.65,409.9,170.15,1036.95,166.75,735.9,275.1
