Date,ABBOTINDIA,ACC,ADANIPORTS,ADANITRANS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CADILAHC,CIPLA,COALINDIA,COLPAL,CONCOR,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GICRE,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCAMC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INFRATEL,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MOTHERSUMI,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,OFSS,ONGC,PAGEIND,PEL,PETRONET,PFC,PGHH,PIDILITIND,PNB,POWERGRID,RELIANCE,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SRTRANSFIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,UBL,ULTRACEMCO,UPL,WIPRO,ZEEL
2010-01-04,,870.0,555.0,,105.4,1791.0,915.0,993.9,1765.0,349.45,627.0,332.7,,505.55,60.2,329.85,277.8,4522.1,635.55,1669.0,659.95,338.0,,668.0,1312.9,160.0,676.0,361.0,,1140.0,658.0,413.0,,298.3,2487.05,520.0,374.25,2694.8,,1700.0,,1732.9,162.0,393.5,264.8,1216.6,877.0,,,198.0,,140.5,,2610.0,307.0,253.0,1020.0,813.1,1683.0,1480.0,104.45,1565.0,1265.0,1085.5,132.25,,890.0,,34.05,426.0,237.4,2325.0,1177.0,861.0,375.0,71.5,262.5,1730.0,196.75,900.0,110.2,1091.1,,,2275.0,1925.0,584.0,465.0,1538.0,789.9,622.0,754.8,996.8,1425.0,399.0,170.5,914.2,175.0,685.0,257.6
2010-01-05,,920.55,559.8,,107.0,1798.0,944.9,998.0,1748.8,365.0,662.95,350.05,,534.85,60.6,328.25,281.9,4824.0,656.45,1670.0,669.9,338.55,,692.0,1300.0,163.35,685.0,368.0,,1150.0,666.25,403.25,,272.0,2555.0,538.0,372.5,2708.0,,1710.0,,1723.0,165.1,399.0,265.75,1220.0,888.0,,,199.1,,144.7,,2620.0,315.05,254.8,1069.7,827.0,1705.0,1474.0,103.85,1563.5,1335.9,1135.0,145.2,,894.8,,35.75,428.5,234.2,2376.0,1192.1,860.0,374.0,73.15,258.55,1716.2,197.8,930.0,113.0,1149.9,,,2308.0,2000.0,587.5,478.0,1522.0,820.0,638.55,755.0,1034.0,1449.0,394.25,168.5,970.0,180.0,696.3,254.5
2010-01-06,,904.5,579.0,,105.35,1814.75,919.0,1020.0,1750.0,360.0,653.0,341.0,,544.85,60.6,332.95,279.8,4725.0,642.0,1685.0,680.0,332.0,,672.35,1271.0,163.85,671.0,369.8,,1186.2,657.0,421.5,,276.0,2629.9,536.0,380.1,2700.0,,1714.0,,1721.0,175.85,397.0,264.75,1252.9,895.0,,,202.0,,143.9,,2683.0,315.85,258.7,1140.3,832.0,1657.85,1448.9,104.45,1518.0,1335.0,1159.7,145.9,,899.8,,36.5,433.9,230.3,2369.0,1212.1,874.95,371.6,75.0,258.1,1760.0,194.0,951.0,113.6,1079.9,,,2297.0,2060.0,590.0,480.05,1555.05,819.7,660.0,751.85,1034.2,1471.0,384.1,172.0,988.0,183.5,706.0,253.9
2010-01-07,,910.0,607.45,,106.8,1798.75,917.7,996.45,1723.0,352.0,645.0,349.9,,515.55,61.4,328.35,293.0,4670.0,631.0,1655.85,689.65,346.0,,690.0,1316.1,169.0,695.0,377.0,,1190.1,655.0,418.6,,264.0,2737.0,539.0,371.9,2677.2,,1768.4,,1705.0,175.15,390.6,265.1,1240.8,896.75,,,199.8,,146.0,,2586.6,313.15,257.0,1148.0,845.0,1673.95,1473.0,103.0,1468.0,1390.0,1183.0,138.1,,894.8,,36.6,425.1,229.8,2375.0,1221.0,874.8,392.1,76.5,260.0,1780.0,224.7,900.0,113.9,1088.0,,,2306.0,2145.0,581.0,473.0,1578.95,814.5,644.9,735.5,1043.0,1465.0,392.0,173.8,987.0,180.6,695.0,263.0
2010-01-08,755.0,917.7,597.0,,105.7,1774.5,888.75,1003.0,1684.1,353.0,632.5,344.1,,535.0,61.1,329.75,292.0,4737.55,619.0,1641.0,683.2,345.0,,695.0,1280.5,164.15,710.1,375.0,,1200.0,660.5,424.5,,264.55,2691.0,540.0,363.0,2650.0,,1712.0,,1659.7,175.0,392.0,265.1,1290.0,889.1,,,197.0,,143.2,,2519.0,315.0,255.35,1116.0,854.0,1670.5,1456.7,102.0,1459.0,1372.25,1165.0,141.35,,867.15,2555.0,35.65,418.8,229.8,2347.0,1225.0,869.95,391.0,76.05,261.0,1739.5,212.3,950.0,115.1,1108.0,,,2294.0,2272.0,622.0,485.0,1555.8,790.0,651.0,716.0,1018.0,1525.0,404.0,169.0,994.0,178.0,679.0,262.0
2010-01-11,825.0,917.8,603.0,,105.6,1780.0,900.0,1019.0,1663.0,354.6,630.05,356.0,,525.55,62.0,331.0,288.0,5115.0,633.0,1673.0,690.0,343.8,,685.05,1300.0,166.8,700.0,395.8,,1225.0,650.0,431.0,,272.0,2762.0,536.0,351.8,2612.0,,1748.65,,1650.0,174.5,394.9,266.6,1282.0,878.0,,,196.0,,143.05,,2475.1,315.25,257.5,1130.0,856.0,1691.0,1442.2,102.0,1442.0,1368.0,1162.0,146.0,,860.0,2401.0,35.5,430.1,233.1,2345.0,1230.35,915.0,392.5,77.0,258.5,1700.0,210.5,915.1,116.0,1134.7,,,2297.0,2260.0,631.0,495.0,1585.7,799.0,650.0,704.0,1050.0,1520.0,392.4,167.0,999.85,176.9,667.0,264.0
2010-01-12,800.0,915.0,622.0,,106.35,1790.0,890.0,1048.0,1694.0,354.9,634.9,367.0,,545.55,63.0,330.1,292.5,5049.0,628.5,1675.0,685.8,342.3,,675.0,1295.0,166.85,688.65,400.0,,1205.0,630.15,427.5,,267.1,2814.95,532.0,357.0,2618.0,,1708.0,,1676.4,172.0,393.0,266.0,1285.0,869.4,,,199.05,,143.9,,2500.0,325.1,256.75,1135.0,848.6,1682.0,1400.0,102.6,1454.75,1360.3,1142.55,146.0,,875.0,2540.0,35.0,437.4,234.0,2300.6,1205.5,879.85,382.05,79.6,280.0,1705.0,210.4,952.5,114.2,1095.0,,,2267.0,2284.0,643.9,513.35,1574.7,788.0,641.5,732.0,1049.0,1504.9,387.2,170.0,990.0,175.55,672.0,268.1
2010-01-13,787.0,900.0,615.25,,103.5,1770.0,882.3,1041.5,1725.0,340.0,619.0,347.4,,525.55,61.8,321.5,287.5,4970.0,632.0,1678.0,665.2,338.9,,682.0,1288.0,162.8,678.65,380.0,,1200.0,620.0,427.0,,267.4,2785.0,530.0,367.85,2598.7,,1684.95,,1640.1,164.95,384.3,262.0,1279.95,821.65,,,196.0,,139.0,,2476.85,318.75,249.0,1053.85,815.0,1670.0,1400.1,101.1,1437.0,1355.0,1182.1,143.0,,850.0,2502.85,34.25,423.9,228.1,2320.1,1189.0,879.85,378.05,76.8,272.0,1700.0,200.55,925.0,113.25,1088.0,,,2195.0,2174.9,625.0,500.0,1555.0,785.0,615.0,745.0,1035.0,1480.0,383.0,166.0,981.0,169.0,696.95,271.0
2010-01-14,769.0,958.0,657.4,,109.0,1873.0,880.0,1044.8,1714.0,342.0,638.0,330.1,,525.55,62.8,319.2,300.0,4998.0,636.0,1674.0,665.25,344.45,,690.0,1305.0,163.0,700.0,390.0,,1239.0,628.4,427.0,,273.9,2839.9,532.0,379.9,2535.05,,1710.0,,1635.0,172.0,389.9,262.6,1295.0,847.0,,,199.1,,138.5,,2679.0,326.0,250.5,1152.0,821.4,1680.2,1405.0,104.0,1439.0,1336.0,1160.0,142.5,,860.1,2535.0,35.0,428.0,230.0,2400.0,1201.95,900.0,395.0,81.8,268.15,1740.0,205.9,905.55,115.5,1086.0,,,2188.0,2216.0,640.0,509.0,1570.0,786.0,644.75,798.45,1104.0,1484.5,391.1,169.85,1039.95,173.4,719.8,281.0
2010-01-15,768.5,955.2,643.0,,108.3,1871.25,916.8,1080.0,1715.0,340.95,628.0,331.0,,545.2,63.4,318.0,302.1,4900.0,627.2,1672.25,685.0,341.3,,690.0,1300.0,164.8,695.0,385.0,,1238.0,619.0,429.55,,269.0,2835.1,525.1,371.5,2530.0,,1698.4,,1630.0,171.0,391.8,257.75,1298.9,840.25,,,208.2,,139.4,,2689.75,326.1,250.05,1183.5,825.0,1674.05,1395.0,105.0,1410.0,1339.45,1175.55,149.2,,863.0,2580.0,35.0,429.5,234.5,2488.0,1231.75,874.0,391.7,83.0,284.1,1730.0,208.0,912.0,118.35,1125.8,,,2168.0,2266.0,662.0,515.0,1555.0,783.0,650.0,796.0,1100.0,1520.0,393.75,170.0,1045.0,172.85,723.0,281.5
