,2014-06-30,2014-07-31,2014-08-28,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-28,2016-11-30,2016-12-30,2017-01-31,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-28,2018-04-30,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-28,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-27,2020-12-31,2021-01-29,2021-02-26
ABB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038801310393337125,,,,,,,,,,,,,,,,,,
ADANIENT,-0.1443474294349112,-0.11303556858637927,0.0495956789646791,-0.08074992303034041,-0.02762510187279082,-0.11069901436356264,,,,-0.19136580366696312,0.04241328635403289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,,,,,-0.003931106489368267,-0.02463278707716903,,0.03233745921050315,-0.014813347023271091,,-0.005424941814927201,,,,,,,,,,,,,,,,,,,,,,,,,,0.045861722652240915,0.0580116981299396,-0.03491334889891405,-0.07070396575215923,0.10736934278115985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02651656505664098,
ASHOKLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1378333743777148,,,,-0.021754234017824736,-0.24387315003599414,-0.3049039486742276,-0.21671245801091657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,,,,,,,,,,,,,,,,,,,,,,,,,,0.07313203435164296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02369848969027899,,,,,,,,0.011361497004459672,,,,,,,-0.027872195444021402,-0.018574626767679486,0.003789857521749532,,,,,,,
AUROPHARMA,,,,,,,,,,,,,,,,,,-0.06255326587896064,0.048947220245594364,-0.07915195934275789,-0.24910742154910054,0.09755411041310123,0.012924825572445139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06011375438064449,,,-0.09348600432144076,,,,,,,,,,,,,0.11669028062653367,-0.08354417545632269,-0.02091020843453509,-0.04137320903745597,0.11141585280049371,0.04629679407699201,-0.024013690722246416,-0.06645250098020541
AXISBANK,,,,-0.08307089566443682,,,0.008150620767107052,,-0.061030943573840465,-0.14576097295030493,-0.010386942972087188,-0.004129080110827491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08876735743160535,-0.01946109195938268,0.053293551015890464,-0.007406042890263406,-0.18458131354530596,-0.015024369798126831,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,,,,,,,,,,,,,,,,,,,,,,,-0.10890101811675032,-0.08966559659333385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,,,,,,0.0702769528871977,,,,,,,-0.009034096211871092,0.18623223203963646,-0.029718093374616943,-0.04285007779485051,0.11510642737083211,-0.027484912489021948,0.023585036579499473,-0.06956710856007758,-0.16417311027907658,0.054103616954453704,0.08929104102795037,,0.23285260891261136,,0.07792553636216887,0.0338243446489024,0.08267894701458141,-0.14204006078763834,-0.04051646311518898,0.1115145077540309,0.17796620868648375,0.030240532242065066,0.10831004631147428,-0.09052674506439733,-0.007241659819747324,0.1893204644284249,0.08942050919603217,-0.07174751700678388,-0.040494106347876355,0.030558145775488522,0.0017681890386479179,-0.08043044045476491,,,,,,0.1733823927380543,,,,,,,0.05267941675002383,,,0.08370153582133254,,-0.18670888149415057,,,,0.10837265364900904,,0.0014657387419967749,0.009832072400088427,-0.7061153343630948,0.11252808157772709,,,,,,,,,,
BAJAJHLDNG,,,,,,,,,,,,,,,,,,,,,-0.20385421881730514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2029877791289523,,0.019110763216236084,-0.03983539085620423,-0.05406990456622171,0.0038987104187237676,-0.054895210776079506,-0.032394845373906814,0.07057276806869743,,0.09268204607771276,0.07252600143414072,0.15390286913637113,0.04517851319661213,-0.2896468467711222,0.08870457857253979,,0.031757351711282154,-0.03254136253317254,0.022671030995621077,0.11200047372862693,0.01580449949857744,0.1078689310923774,0.05628140459801171,-0.12989886956463578,0.027020717195335883,0.1989995642902787,-0.01684910749084797,0.007245852220208,0.034543236887929256,0.025869714334512777,0.04558320207748729,-0.73205735260187,0.05980846653713988,,,,,,,,,,
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011824413504133142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,0.1651691221106181,0.08154800388624624,0.043433050016250745,-0.007088855501809073,-0.06077735189484893,0.12001177559658384,-0.07076930443247821,0.043595206179375505,0.13501186144560823,-0.038245370502221,-0.05970536186456681,-0.08006619659550446,-0.1918742456690767,0.03094507469671488,,,-0.11029312481354692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
