,0,1,2,3,4,5,6,7,8,9
2014-05-30,ADANIENT,HCLTECH,TECHM,BHARATFORG,UPL,WIPRO,JSWSTEEL,TCS,DIVISLAB,TATASTEEL
2014-06-30,ADANIENT,BHARATFORG,PFC,JSWSTEEL,HCLTECH,TECHM,SAIL,TATASTEEL,NMDC,RECLTD
2014-07-31,BHARATFORG,PFC,ADANIENT,TATASTEEL,RECLTD,SAIL,JSWSTEEL,HINDPETRO,NMDC,LT
2014-08-28,ADANIENT,BHARATFORG,PFC,HINDPETRO,FEDERALBNK,AXISBANK,PNB,YESBANK,BPCL,JSWSTEEL
2014-09-30,ADANIENT,BHARATFORG,HINDPETRO,FEDERALBNK,BPCL,PNB,MARUTI,ADANIPORTS,PFC,YESBANK
2014-10-31,BHARATFORG,HINDPETRO,ADANIENT,ADANIPORTS,MARUTI,DIVISLAB,BPCL,PFC,CONCOR,BAJAJFINSV
2014-11-28,BHARATFORG,HINDPETRO,BPCL,UPL,MARUTI,UNIONBANK,AXISBANK,PFC,CONCOR,YESBANK
2014-12-31,BHARATFORG,HINDPETRO,BPCL,PFC,YESBANK,LICHSGFIN,MARUTI,BOSCHLTD,ADANIPORTS,CONCOR
2015-01-30,BHARATFORG,YESBANK,PFC,HINDPETRO,AXISBANK,LICHSGFIN,UNIONBANK,BOSCHLTD,ADANIPORTS,INDUSINDBK
2015-02-27,YESBANK,BHARATFORG,HINDPETRO,BOSCHLTD,ADANIENT,AXISBANK,LICHSGFIN,MARUTI,INDUSINDBK,CANBK
2015-03-31,BHARATFORG,BOSCHLTD,UPL,LICHSGFIN,HINDPETRO,YESBANK,ADANIENT,AXISBANK,LUPIN,ADANIPORTS
2015-04-30,BHARATFORG,BOSCHLTD,HINDPETRO,LUPIN,SIEMENS,MARUTI,YESBANK,AXISBANK,INDUSINDBK,BPCL
2015-05-29,BHARATFORG,LUPIN,BOSCHLTD,BAJAJFINSV,CIPLA,MARUTI,UPL,HINDPETRO,GLENMARK,SIEMENS
2015-06-30,BHARATFORG,LUPIN,BOSCHLTD,HINDPETRO,YESBANK,UPL,BAJAJFINSV,KOTAKBANK,MARUTI,CONCOR
2015-07-31,HINDPETRO,UPL,BOSCHLTD,BAJAJFINSV,MARUTI,LUPIN,YESBANK,INDUSINDBK,LICHSGFIN,BPCL
2015-08-31,HINDPETRO,SIEMENS,BAJAJFINSV,UPL,INDUSINDBK,BOSCHLTD,LICHSGFIN,MARUTI,MCDOWELL-N,UBL
2015-09-30,HINDPETRO,CUMMINSIND,BAJAJFINSV,GLENMARK,BOSCHLTD,SIEMENS,UPL,BHARATFORG,LUPIN,INDUSINDBK
2015-10-30,BAJAJFINSV,AUROPHARMA,SIEMENS,CUMMINSIND,HINDPETRO,LUPIN,GLENMARK,MARUTI,UPL,DRREDDY
2015-11-30,BAJAJFINSV,AUROPHARMA,SIEMENS,DIVISLAB,UPL,MARUTI,GODREJCP,HINDPETRO,LUPIN,CUMMINSIND
2015-12-31,HINDPETRO,BAJAJFINSV,BPCL,AUROPHARMA,SIEMENS,MARUTI,DIVISLAB,GLENMARK,GODREJCP,LUPIN
2016-01-29,PETRONET,AUROPHARMA,BAJAJFINSV,DIVISLAB,HINDPETRO,GLENMARK,MARUTI,GODREJCP,BPCL,BAJAJHLDNG
2016-02-29,AUROPHARMA,HINDPETRO,DIVISLAB,PETRONET,BAJAJFINSV,BPCL,RELIANCE,ZEEL,OFSS,MARUTI
2016-03-31,PETRONET,JSWSTEEL,EICHERMOT,RELIANCE,GODREJCP,BAJAJFINSV,BAJAJ-AUTO,HINDPETRO,ZEEL,AUROPHARMA
2016-04-29,PETRONET,JSWSTEEL,HINDPETRO,GODREJCP,RELINFRA,HEROMOTOCO,BAJAJ-AUTO,INFY,EICHERMOT,ZEEL
2016-05-31,JSWSTEEL,HINDPETRO,ZEEL,GODREJCP,BAJAJFINSV,IBULHSGFIN,INFY,INDUSINDBK,BPCL,DIVISLAB
2016-06-30,JSWSTEEL,SRTRANSFIN,HINDPETRO,ASIANPAINT,INFY,GRASIM,INDUSINDBK,HEROMOTOCO,YESBANK,IBULHSGFIN
2016-07-29,JSWSTEEL,SRTRANSFIN,YESBANK,TATASTEEL,GRASIM,TITAN,BAJAJFINSV,BPCL,HEROMOTOCO,TATAMOTORS
2016-08-31,JSWSTEEL,YESBANK,VEDL,HINDALCO,TATASTEEL,HINDPETRO,SRTRANSFIN,BAJAJFINSV,TATAMOTORS,GRASIM
2016-09-30,HINDALCO,VEDL,JSWSTEEL,YESBANK,TATAMOTORS,TATASTEEL,BAJAJFINSV,HINDPETRO,ULTRACEMCO,HEROMOTOCO
2016-10-28,JSWSTEEL,HINDALCO,VEDL,HINDPETRO,YESBANK,BAJAJFINSV,TATASTEEL,UPL,BPCL,MARICO
2016-11-30,VEDL,HINDALCO,JSWSTEEL,TATASTEEL,BAJAJFINSV,HINDPETRO,UPL,YESBANK,IOC,NMDC
2016-12-30,VEDL,HINDALCO,HINDPETRO,JSWSTEEL,TATASTEEL,YESBANK,NMDC,BAJAJFINSV,BPCL,IOC
2017-01-31,VEDL,HINDALCO,NMDC,HINDPETRO,IOC,TATASTEEL,YESBANK,BAJAJFINSV,JSWSTEEL,UPL
2017-02-28,VEDL,HINDALCO,HINDPETRO,YESBANK,IOC,BAJAJFINSV,UPL,PNB,TATASTEEL,MARUTI
2017-03-31,VEDL,BAJAJFINSV,HINDALCO,HINDPETRO,IOC,YESBANK,PNB,MARUTI,PFC,BPCL
2017-04-28,VEDL,BAJAJFINSV,HINDALCO,HINDPETRO,IOC,PNB,PFC,YESBANK,MARUTI,SBIN
2017-05-31,RECLTD,BAJAJFINSV,VEDL,IOC,PNB,PFC,HINDALCO,HINDPETRO,HINDZINC,ADANIPORTS
2017-06-30,RECLTD,IOC,VEDL,BAJAJFINSV,IBULHSGFIN,HINDPETRO,MARUTI,BAJFINANCE,HINDALCO,ADANIPORTS
2017-07-31,RECLTD,VEDL,ADANIPORTS,TATASTEEL,MARUTI,BAJAJFINSV,IOC,IBULHSGFIN,LICHSGFIN,CADILAHC
2017-08-31,VEDL,BAJAJFINSV,TATASTEEL,BAJFINANCE,RECLTD,RELIANCE,MARUTI,MOTHERSUMI,ADANIPORTS,HINDPETRO
2017-09-29,VEDL,HINDPETRO,BAJAJFINSV,TATASTEEL,BAJFINANCE,IOC,TITAN,HINDALCO,BEL,ADANIPORTS
2017-10-31,BAJFINANCE,VEDL,TATASTEEL,HINDALCO,TITAN,MOTHERSUMI,BAJAJFINSV,JSWSTEEL,RELIANCE,PEL
2017-11-30,TITAN,BAJFINANCE,RELIANCE,MOTHERSUMI,DLF,TATASTEEL,BAJAJFINSV,ASHOKLEY,IBULHSGFIN,PEL
2017-12-29,TITAN,DLF,BAJFINANCE,IBULHSGFIN,TATASTEEL,BAJAJFINSV,PEL,RELIANCE,MCDOWELL-N,MOTHERSUMI
2018-01-31,TITAN,DLF,RELIANCE,MOTHERSUMI,PEL,BAJFINANCE,MCDOWELL-N,MARUTI,IBULHSGFIN,HINDUNILVR
2018-02-28,TITAN,DLF,IBULHSGFIN,MARUTI,HINDUNILVR,MOTHERSUMI,JSWSTEEL,RELIANCE,TATASTEEL,BAJFINANCE
2018-03-28,TITAN,ASHOKLEY,JSWSTEEL,DLF,MCDOWELL-N,BRITANNIA,TATASTEEL,MARUTI,HINDUNILVR,RELIANCE
2018-04-30,TITAN,ASHOKLEY,MCDOWELL-N,TECHM,JSWSTEEL,HINDUNILVR,SRTRANSFIN,BAJFINANCE,BRITANNIA,MARUTI
2018-05-31,TITAN,ASHOKLEY,TECHM,JSWSTEEL,MCDOWELL-N,SRTRANSFIN,BRITANNIA,RELIANCE,BAJFINANCE,HINDUNILVR
2018-06-29,TECHM,TITAN,JSWSTEEL,BRITANNIA,ASHOKLEY,BAJFINANCE,HINDUNILVR,TCS,BAJAJFINSV,SRTRANSFIN
2018-07-31,TECHM,TITAN,BRITANNIA,TCS,JSWSTEEL,HINDUNILVR,BAJFINANCE,PIDILITIND,INFY,KOTAKBANK
2018-08-31,TECHM,TCS,BRITANNIA,INFY,BAJFINANCE,RELIANCE,TITAN,HINDUNILVR,GODREJCP,SRTRANSFIN
2018-09-28,TCS,TECHM,INFY,JSWSTEEL,DABUR,RELIANCE,GODREJCP,BRITANNIA,BAJFINANCE,M&M
2018-10-31,TCS,INFY,TECHM,JSWSTEEL,PIDILITIND,RELIANCE,DABUR,HINDUNILVR,M&M,HCLTECH
