,portfolio,market,Rf %
2014-02-28,4.39893675579323,2.8497289993306474,0
2014-03-31,4.419224190883356,7.333680658293229,0
2014-04-30,-0.3185063215400319,0.02273743634408909,0
2014-05-31,12.58898579796967,8.83148596618042,0
2014-06-30,10.58085694289705,5.426596933450267,0
2014-07-31,0.1962943478965906,1.048079487518172,0
2014-08-31,2.8588428410095355,3.007049364448555,0
2014-09-30,7.364036257013513,0.3210534149869826,0
2014-10-31,3.7720795754132994,4.441724393015645,0
2014-11-30,9.078808040623407,3.4365407320815278,0
2014-12-31,0.15698493480483466,-2.9289444003017806,0
2015-01-31,11.734651862028914,6.085314888017379,0
2015-02-28,0.4069555933439428,0.0,0
2015-03-31,-0.7678054685372593,-3.1319130738977408,0
2015-04-30,-1.5799081824429981,-3.285993250777619,0
2015-05-31,9.456891238860138,3.159150805084554,0
2015-06-30,2.580838697712904,-0.6929465426969039,0
2015-07-31,6.260985710119299,2.4274448879152644,0
2015-08-31,-3.1217727040153207,-6.087311574933518,0
2015-09-30,-0.3722569470252879,-0.6348850150319385,0
2015-10-31,0.7408477143784031,1.3367637332672322,0
2015-11-30,-2.938459537622488,-1.4512240510503593,0
2015-12-31,4.75335129437555,0.4182557983468227,0
2016-01-31,-5.660266909941258,-5.330062233168887,0
2016-02-29,-7.710503939966304,-7.516005488053423,0
2016-03-31,9.135608817955527,10.561899595625235,0
2016-04-30,2.3652916437785034,1.6789770579648922,0
2016-05-31,5.635506814627664,3.655985717389232,0
2016-06-30,4.499147204853,1.9552308210095903,0
2016-07-31,12.944798891477333,5.023642442003484,0
2016-08-31,8.692194954812974,1.827129765810609,0
2016-09-30,-2.58586930145417,-1.7365680239986747,0
2016-10-31,3.420831954621732,0.6993239483087166,0
2016-11-30,1.4206278669216799,-4.936525436374439,0
2016-12-31,-4.375868071635751,-0.9909806662248943,0
2017-01-31,15.40108226513788,5.278854756934082,0
2017-02-28,5.459419495253679,3.920115524079315,0
2017-03-31,4.127417086836547,3.229211888659722,0
2017-04-30,3.401554210880224,1.9578391868169787,0
2017-05-31,1.8578802614124412,2.6640843392613967,0
2017-06-30,5.834076556849145,-0.7487610087960839,0
2017-07-31,4.70989626775885,5.9214611591505095,0
2017-08-31,-3.3481140281492516,-1.259862950495616,0
2017-09-30,-1.4173783372388404,-1.38675665509016,0
2017-10-31,9.056644441279785,5.884809540614522,0
2017-11-30,-3.5287929645585003,-0.8388499260291726,0
2017-12-31,11.86768296268339,3.1396886698119797,0
2018-01-31,2.9729557415081596,3.717740763336286,0
2018-02-28,-5.520263303335402,-4.670619983303803,0
2018-03-31,-4.241615670873186,-3.5262487912457674,0
2018-04-30,9.138162384039454,6.3702471283052065,0
2018-05-31,-6.112622638492907,-0.7334535311836365,0
2018-06-30,-3.394527025483809,-0.6390024855185472,0
2018-07-31,3.2649473932164734,5.825281441592067,0
2018-08-31,5.22040322486977,3.1739279121705932,0
2018-09-30,-4.597976207608512,-7.303940203434179,0
2018-10-31,-4.39178734243185,-4.689753771777583,0
2018-11-30,-1.7404716496423298,4.59847998962768,0
2018-12-31,1.6024066990709407,0.16137745723365793,0
2019-01-31,0.47681107749536933,-1.0202434891594336,0
2019-02-28,0.2947104263104272,-0.3355468377556847,0
2019-03-31,2.9163182669331054,6.929344162868878,0
2019-04-30,1.5867699654033673,1.3217490404163978,0
2019-05-31,2.891300240598116,1.2969240162536533,0
2019-06-30,-1.4926960951922819,-1.2150594724918307,0
2019-07-31,-4.797921133342867,-5.562143356376248,0
2019-08-31,-0.40437220028892945,-0.5890687702858388,0
2019-09-30,2.456047591496847,4.107540157062517,0
2019-10-31,8.355679881455249,3.650557568637569,0
2019-11-30,-1.5243403559402935,1.2074984651810006,0
2019-12-31,2.7821576707318387,0.6989509114055936,0
2020-01-31,4.735992812294173,-1.4741872715045568,0
2020-02-29,-2.1683034226225906,-6.375502081359041,0
2020-03-31,-17.376582875502887,-22.84447618520833,0
2020-04-30,13.79604337484331,14.61147664247122,0
2020-05-31,-0.4944252690091454,-2.4727956343260082,0
2020-06-30,3.788371089409518,7.4538030469450955,0
2020-07-31,1.8336963112416604,7.018754603902666,0
2020-08-31,6.668424456422173,2.4334030291043307,0
2020-09-30,8.047581611375728,-0.9642408642992262,0
2020-10-31,1.4150928247429895,3.1949372322829017,0
2020-11-30,9.397467217895638,11.331647405966393,0
2020-12-31,18.04479509247017,7.7249773328112115,0
2021-01-31,-4.5820916569160675,-2.4658034171353482,0
2021-02-28,10.62114603945349,6.7254576201832394,0
2021-03-31,-0.9399360667123703,0.953466073032061,0
2021-04-30,7.910923392617404,1.502621971169149,0
