,0,1,2,3,4,5,6,7,8,9
2014-01-31,AUROPHARMA,BRITANNIA,HCLTECH,TECHM,EICHERMOT,BIOCON,TCS,SUNPHARMA,RCOM,M&MFIN
2014-02-28,AUROPHARMA,HCLTECH,RCOM,BRITANNIA,PAGEIND,TECHM,MRF,EICHERMOT,UPL,BHARATFORG
2014-03-31,AUROPHARMA,RCOM,HCLTECH,EICHERMOT,BHARATFORG,MOTHERSUMI,PAGEIND,TECHM,NAUKRI,BRITANNIA
2014-04-30,AUROPHARMA,EICHERMOT,MOTHERSUMI,HCLTECH,TECHM,BHARATFORG,PAGEIND,ADANIENT,NAUKRI,ABB
2014-05-31,AUROPHARMA,ADANIENT,HCLTECH,TECHM,MOTHERSUMI,BHARATFORG,UPL,BIOCON,NAUKRI,EICHERMOT
2014-06-30,AUROPHARMA,ADANIENT,NAUKRI,BHARATFORG,MOTHERSUMI,UPL,PFC,MUTHOOTFIN,EICHERMOT,RELINFRA
2014-07-31,AUROPHARMA,BHARATFORG,PFC,ASHOKLEY,UPL,MUTHOOTFIN,ADANIENT,TATASTEEL,MOTHERSUMI,RECLTD
2014-08-31,AUROPHARMA,ADANIENT,BHARATFORG,ASHOKLEY,MOTHERSUMI,EICHERMOT,PFC,UPL,HINDPETRO,FEDERALBNK
2014-09-30,AUROPHARMA,ADANIENT,BHARATFORG,EICHERMOT,HINDPETRO,MOTHERSUMI,ASHOKLEY,NAUKRI,TATAMTRDVR,IBULHSGFIN
2014-10-31,AUROPHARMA,EICHERMOT,BHARATFORG,SUNDARMFIN,HINDPETRO,ABBOTINDIA,ASHOKLEY,ADANIENT,MOTHERSUMI,NAUKRI
2014-11-30,AUROPHARMA,ASHOKLEY,BHARATFORG,EICHERMOT,HINDPETRO,SUNDARMFIN,MOTHERSUMI,BPCL,INDHOTEL,UPL
2014-12-31,ASHOKLEY,BHARATFORG,EICHERMOT,AUROPHARMA,HINDPETRO,MOTHERSUMI,BEL,TORNTPHARM,BPCL,SUNDARMFIN
2015-01-31,EICHERMOT,BEL,ASHOKLEY,BHARATFORG,YESBANK,AUROPHARMA,IBULHSGFIN,PFC,ABBOTINDIA,HINDPETRO
2015-02-28,ASHOKLEY,BEL,IBULHSGFIN,EICHERMOT,YESBANK,BHARATFORG,BAJFINANCE,HINDPETRO,BOSCHLTD,SUNDARMFIN
2015-03-31,BEL,BHARATFORG,IBULHSGFIN,ASHOKLEY,EICHERMOT,BRITANNIA,BOSCHLTD,SUNDARMFIN,BAJFINANCE,UPL
2015-04-30,ASHOKLEY,BHARATFORG,BEL,EICHERMOT,BRITANNIA,BOSCHLTD,PAGEIND,BAJFINANCE,ABBOTINDIA,AUROPHARMA
2015-05-31,BRITANNIA,BHARATFORG,ABBOTINDIA,EICHERMOT,ASHOKLEY,PAGEIND,EMAMILTD,BAJFINANCE,TORNTPHARM,BEL
2015-06-30,BRITANNIA,EICHERMOT,PAGEIND,EMAMILTD,BAJFINANCE,BHARATFORG,ASHOKLEY,INDUSTOWER,ABBOTINDIA,AUROPHARMA
2015-07-31,BAJFINANCE,BRITANNIA,EICHERMOT,EMAMILTD,ASHOKLEY,AUROPHARMA,BEL,HINDPETRO,PAGEIND,ABBOTINDIA
2015-08-31,BRITANNIA,ASHOKLEY,BAJFINANCE,IBULHSGFIN,EMAMILTD,HINDPETRO,EICHERMOT,BEL,PAGEIND,AUROPHARMA
2015-09-30,ASHOKLEY,BRITANNIA,IBULHSGFIN,TORNTPHARM,BAJFINANCE,PAGEIND,HINDPETRO,EMAMILTD,BEL,CUMMINSIND
2015-10-31,BRITANNIA,ASHOKLEY,IBULHSGFIN,ABBOTINDIA,BAJFINANCE,TORNTPHARM,BEL,BAJAJFINSV,AUROPHARMA,SIEMENS
2015-11-30,BRITANNIA,ASHOKLEY,BAJAJFINSV,BAJFINANCE,IBULHSGFIN,BEL,ABBOTINDIA,AUROPHARMA,TORNTPHARM,PAGEIND
